order_item_id,order_id,product_id,quantity,unit_price
500000,100000,1260,1,194.58
500001,100001,1108,1,$60.91
500002,100002,1160,1,34.94
500003,100003,1298,1,78.91
500004,100003,1120,1,18.94
500005,100004,1042,1,235.08
500006,100005,1278,1,254.02
500007,100005,1202,2,9.31
500008,100006,1030,1,865.8
500009,100006,1057,1,48.61
500010,100007,1276,1,274.83
500011,100007,1095,,94.48
500012,100008,1102,1,63.49
500013,100009,1095,1,87.98
500014,100010,1220,1,58.36
500015,100010,1254,1,117.34
500016,100011,1056,1,157.86
500017,100011,1179,3,67.06
500018,100012,1101,1,125.55
500019,100012,1056,-1,168.56
500020,100013,1182,2,$29.69
500021,100013,1208,1,42.56
500022,100014,1248,1,23.16
500023,100015,1094,1,40.88
500024,100016,1160,2,30.96
500025,100016,1132,1,38.22
500026,100016,1069,1,90.32
500027,100017,1266,1,108.33
500028,100018,1117,2,101.25
500029,100019,1175,3,59.17
500030,100020,1230,1,33.48
500031,100020,1042,1,251.16
500032,100021,1196,1,$23.59
500033,100022,1245,1,16.51
500034,100023,1118,1,76.27
500035,100023,1183,1,24.2
500036,100024,1208,1,41.62
500037,100025,1161,1,54.59
500038,100025,1131,1,81.13
500039,100025,1085,1,32.67
500040,100026,1211,2,39.27
500041,100026,1257,1,166.09
500042,100027,1184,2,31.05
500043,100027,1088,2,88.94
500044,100028,1218,2,10.5
500045,100028,1188,1,51.9
500046,100029,1056,1,152.63
500047,100029,1043,1,101.08
500048,100030,1275,2,220.72
500049,100031,1154,1,55.29
500050,100032,1248,1,26.72
500051,100032,1168,1,11.12
500052,100033,1076,1,$55.31
500053,100034,1013,1,276.41
500054,100035,1152,1,44.01
500055,100036,1124,1,59.42
500056,100037,1165,1,73.09
500057,100038,1247,1,53.62
500058,100039,1220,2,55.06
500059,100039,1102,3,$63.00
500060,100040,1120,2,0.0
500061,100040,1005,1,423.18
500062,100041,1261,1,82.44
500063,100042,1160,2,31.57
500064,100042,1226,1,30.96
500065,100043,1081,1,76.39
500066,100043,1135,1,$101.95
500067,100044,1266,2,146.17
500068,100045,1071,1,3190.0
500069,100045,1284,1,44.93
500070,100046,1186,2,56.06
500071,100046,1174,1,26.56
500072,100047,1159,2,38.6
500073,100048,1008,1,504.78
500074,100049,1072,1,44.64
500075,100049,1228,2,47.69
500076,100049,1296,1,110.25
500077,100050,1081,1,70.76
500078,100051,1289,1,102.99
500079,100052,1232,1,32.69
500080,100053,1010,1,297.77
500081,100054,1278,1,278.96
500082,100054,1120,1,18.79
500083,100055,1228,1,50.33
500084,100055,1182,2,$31.08
500085,100056,1209,1,18.38
500086,100057,1049,1,238.26
500087,100058,1164,1,34.36
