order_id,customer_id,order_date,order_status,discount_amount,shipping_cost
107356,4428,2025-09-16,RETURNED,0.0,10.36
116104,9637,2025-04-17 09:22:00,complete,0.0,9.87
120558,12283,2023-09-01,Completed,,0.0
106034,3644,2023-10-27,DELIVERED,0.0,0.0
121289,12707,2023-11-16,Completed,0.0,0.0
102937,1745,2025-11-30,completed,,0.0
115853,9483,2024-09-09,COMPLETE,0.0,6.65
111606,6940,2024-12-16,completed,4.65,0.0
110202,6090,2023-04-11,DELIVERED,,0.0
112770,7656,2025-08-30,Returned,60.0,0.0
100733,445,2025-09-24,SHIPPED,0.0,0.0
109402,5609,2025-12-06,COMPLETE,0.0,0.0
100345,210,2025-12-04,completed,0.0,0.0
113904,8344,2024-04-05,complete,,8.89
109693,5777,2025-12-04,Shipped,2.85,6.54
112335,7394,2024-11-29,DELIVERED,3.34,12.59
107318,4404,2024-09-29,completed,,0.0
100866,517,2025-11-12,Completed,0.0,0.0
112022,7190,2025-07-31,complete,23.31,0.0
110477,6255,2025-01-31,refunded,,0.0
111140,6664,2025-09-24,completed,$19.93,0.0
104618,2768,2023-03-17,Completed,60.0,0.0
121448,12811,2024-12-12,COMPLETE,8.49,0.0
101569,934,2024-08-24,Completed,0.0,0.0
107891,4732,2025-03-15,completed,,10.47
100775,467,2025-02-16,shipped,,0.0
107924,4743,2024-12-05,Completed,,0.0
110500,6267,2025-10-28,DELIVERED,,8.29
121181,12643,2023-11-15,Delivered,0.0,10.16
117893,10678,2024-05-10,COMPLETE,,6.46
103184,1894,2023-05-17,delivered,,0.0
125222,15085,2025-11-20,Completed,,0.0
100905,539,2025-07-09,DELIVERED,0.0,8.24
114006,8402,2025-03-14,Refunded,0.0,6.71
101489,892,2025-06-16,COMPLETE,0.0,0.0
123180,13842,2023-10-08,complete,,0.0
100626,376,2023-05-24,COMPLETE,$14.61,0.0
118824,11244,2025-05-06,COMPLETE,0.0,0.0
117497,10468,2024-11-09,in transit,0.0,5.73
116049,9602,2023-05-15,complete,0.0,8.86
111444,6846,2025-08-15,completed,0.0,0.0
120348,12163,2024-10-12,completed,3.93,5.85
103473,2057,2025-12-23,COMPLETE,0.0,0.0
108051,4818,2025-10-04,DELIVERED,$2.69,12.56
124554,14661,2024-11-28,Delivered,,8.37
111605,6940,2024-08-02,Completed,2.79,7.2
113238,7941,2025-11-08 16:42:00,COMPLETE,0.0,9.24
124346,14543,2024-11-17,Returned,0.0,0.0
106425,3885,2025-12-02,completed,,12.19
116031,9590,2025-10-26,completed,,0.0
106815,4107,2024-12-01 08:24:00,in transit,,7.84
101483,888,2025-11-02,COMPLETE,4.62,12.27
125866,15493,2025-12-04,returned,0.0,0.0
114540,8706,2025-03-27,completed,,9.15
107932,4746,2025-03-02,complete,,0.0
104667,2800,2024-11-29,COMPLETE,,0.0
109526,5689,2025-04-26,complete,,0.0
123459,14015,2025-12-24,Completed,,6.81
103197,1902,2025-11-27,COMPLETE,0.0,5.08
103351,1991,2024-11-05,completed,,12.14
119130,11430,2025-07-05,completed,0.0,0.0
121702,12961,2025-10-15,Completed,13.47,0.0
119220,11482,2025-12-12,delivered,,0.0
115530,9301,2024-05-16,Completed,0.0,0.0
109952,5933,2025-12-24,in transit,,0.0
123950,14317,2024-12-02,returned,6.67,8.56
105844,3532,2025-12-10,RETURNED,,0.0
124555,14662,2023-10-20,canceled,4.0,7.5
108815,5276,2025-12-22,complete,0.0,0.0
117651,10551,2023-08-21,REFUND,0.0,12.36
111598,6937,2025-03-09,Refunded,0.0,6.41
125205,15074,2024-07-09,Delivered,,0.0
116037,9594,2025-10-14,Refunded,1.07,10.59
120921,12499,2025-05-11,COMPLETE,0.0,11.57
115110,9060,2024-12-01,Delivered,,0.0
106362,3848,2025-12-01,delivered,,5.05
104194,2511,2024-08-30,complete,0.0,8.21
104246,2541,2025-09-15,COMPLETE,3.23,12.9
100196,117,2023-10-03,Returned,10.2,0.0
111968,7155,2025-12-30,COMPLETE,,0.0
116305,9758,2024-07-12,COMPLETE,7.82,7.54
105034,3034,2023-10-29,REFUND,0.0,8.88
109500,5671,2023-02-20,COMPLETE,,0.0
109149,5455,2025-12-28,Completed,0.0,10.66
115725,9414,2024-11-14,delivered,0.0,0.0
100323,197,2023-11-12,COMPLETE,,11.79
119243,11496,2024-07-06,Completed,0.0,0.0
125596,15328,2024-06-16,complete,37.74,0.0
117866,10663,2023-11-27,COMPLETE,,10.68
104404,2639,2025-04-18,delivered,,10.02
103142,1867,2025-10-23,complete,,9.26
124391,14570,2023-04-05,complete,0.0,8.26
120495,12245,2025-11-29,COMPLETE,0.0,0.0
117223,10296,2025-10-07,SHIPPED,6.28,5.8
122755,13586,2023-05-27,Completed,0.0,0.0
