product_id,product_name,category,subcategory,unit_cost,list_price
1000,Sofa 795,Furniture,Sofas,113.31,184.21
1001,Table 215,Furniture,Tables,120.64,206.38
1002,Sofa 598,Furniture,Sofas,113.16,$230.52
1003,Bed 799,Furniture,Beds,161.61,290.34
1004,Sofa 522,Furniture,Sofas,399.27,720.76
1005,Bed 729,FURNITURE,Beds,217.36,455.04
1006,Storage 279,Furniture,Storage,192.62,$334.33
1007,Sofa 225,Furniture,Sofas,306.14,534.27
1008,Sofa 602,Furniture,Sofas,299.25,596.47
1009,Storage 152,Furniture,Storage,229.8,398.42
1010,Table 831,Furniture,Tables,152.57,-19.99
1011,Storage 236,Furniture,Storage,260.43,$476.93
1012,Chair 206,furniture,Chairs,173.15,282.08
1013,Bed 503,Furniture,Beds,174.03,377.93
1014,Table 258,Furniture,Tables,105.13,192.73
1015,Bed 175,FURNITURE,Beds,133.92,298.32
1016,Bed 253,Furniture,Beds,146.58,345.25
1017,Table 803,Furniture,Tables,326.76,690.25
1018,Storage 494,Furniture,Storage,180.85,340.7
1019,Sofa 352, Furniture ,Sofas,252.34,$418.34
1020,Sofa 598,Furniture,Sofas,396.54,649.45
1021,Storage 330,Furniture,Storage,188.8,305.26
1022,Storage 900,Furniture,Storage,145.83,264.03
1023,Bed 771,Furniture,Beds,361.0,615.81
1024,Chair 638,FURNITURE,Chairs,97.22,186.9
1025,Sofa 306,Furniture,Sofas,408.14,730.31
1026,Storage 822,Furniture,Storage,332.86,$549.71
1027,Sofa 539,Furniture,Sofas,213.37,502.09
1028,Storage 195,furniture,Storage,140.97,232.4
1029,Bed 805,FURNITURE,Beds,251.07,538.17
1030,Storage 880,Furniture,Storage,528.54,$890.55
1031,Chair 312,Furniture,Chairs,79.96,148.38
1032,Chair 378,Furniture,Chairs,135.85,301.4
1033,Bed 149,Furniture,Beds,187.01,374.98
1034,Bed 886,Furniture,Beds,142.53,$266.79
1035,Sofa 435,Furniture,Sofas,193.96,320.61
1036,Storage 911,furniture,Storage,114.61,199.05
1037,Chair 562,Furniture,Chairs,325.7,$688.15
1038,Sofa 474,Furniture,Sofas,289.57,583.94
1039,Bed 953,FURNITURE,Beds,217.24,368.38
1040,Table 578,Furniture,Tables,171.82,307.39
1041,Bed 185,FURNITURE,Beds,575.44,940.61
1042,Table 803,Furniture,Tables,114.85,$261.61
1043,Sofa 614,furniture,Sofas,66.49,128.25
1044,Bed 178,Furniture,Beds,255.87,525.69
1045,Bed 343,Furniture,Beds,151.46,249.43
1046,Sofa 755,furniture,Sofas,121.47,245.26
1047,Storage 955,Furniture,Storage,275.29,512.02
1048,Sofa 508,FURNITURE,Sofas,108.87,226.64
1049,Table 199,Furniture,Tables,139.94,252.99
1050,Sconce 906,Lighting,Sconces,48.4,105.3
1051,Floor Lamp 132,Lighting,Floor Lamps,66.11,141.34
1052,Sconce 820,Lighting,Sconces,21.44,50.1
